topic,subtopic,question,answerA,answerB,answerC,answerD,correctAnswer,difficulty,explanation,tags
Java Grundlagen,Datentypen,"Was ist der Unterschied zwischen int und Integer in Java?","int ist primitiv, Integer ist Wrapper-Klasse","Kein Unterschied","Integer ist schneller","int kann null sein",A,MEDIUM,"int ist ein primitiver Datentyp mit 32 Bit, Integer ist die entsprechende Wrapper-Klasse die null sein kann","java;datentypen;wrapper"
Java Grundlagen,Variablen,"Welches Schlüsselwort macht eine Variable unveränderlich?","final","static","const","immutable",A,EASY,"Das Schlüsselwort final verhindert, dass einer Variable ein neuer Wert zugewiesen wird","java;variablen;final"
Java Grundlagen,Arrays,"Wie wird ein Array in Java deklariert?","int[] array","array int[]","int array()","array<int>",A,EASY,"Die korrekte Syntax ist: Typ[] name oder Typ name[]","java;arrays;syntax"
Java Grundlagen,Schleifen,"Welche Schleife prüft die Bedingung am Ende?","do-while","while","for","foreach",A,MEDIUM,"Die do-while Schleife führt den Code mindestens einmal aus und prüft dann die Bedingung","java;schleifen;kontrolle"
Datenbanken,SQL,"Welcher SQL-Befehl fügt Daten in eine Tabelle ein?","INSERT","SELECT","UPDATE","CREATE",A,EASY,"INSERT INTO tabelle VALUES (...) fügt neue Datensätze ein","sql;datenbanken;crud"
Datenbanken,SQL,"Was macht der JOIN-Befehl?","Verbindet Tabellen","Löscht Duplikate","Sortiert Daten","Erstellt Index",A,MEDIUM,"JOIN verbindet Zeilen aus zwei oder mehr Tabellen basierend auf einer Bedingung","sql;join;tabellen"
Datenbanken,Normalisierung,"Was ist die 1. Normalform?","Atomare Werte","Keine Redundanz","Transitive Abhängigkeiten","Funktionale Abhängigkeiten",A,MEDIUM,"1NF verlangt, dass alle Attribute atomare (unteilbare) Werte enthalten","datenbanken;normalisierung;1nf"
Netzwerke,OSI-Modell,"Auf welcher OSI-Schicht arbeitet TCP?","Schicht 4 (Transport)","Schicht 3 (Network)","Schicht 2 (Data Link)","Schicht 7 (Application)",A,MEDIUM,"TCP arbeitet auf der Transportschicht (Layer 4) des OSI-Modells","netzwerke;tcp;osi"
Netzwerke,IP-Adressen,"Welche IP-Adresse ist eine private IPv4-Adresse?","192.168.1.1","8.8.8.8","1.1.1.1","203.0.113.0",A,EASY,"192.168.x.x ist ein privater IP-Adressbereich (RFC 1918)","netzwerke;ip;ipv4"
Netzwerke,Protokolle,"Welches Protokoll wird für E-Mail-Versand verwendet?","SMTP","POP3","IMAP","HTTP",A,MEDIUM,"SMTP (Simple Mail Transfer Protocol) wird zum Versenden von E-Mails verwendet","netzwerke;email;protokolle"
Web-Entwicklung,HTML,"Welches HTML-Element definiert den sichtbaren Inhalt?","<body>","<head>","<html>","<div>",A,EASY,"Das body-Element enthält den sichtbaren Inhalt einer HTML-Seite","html;web;grundlagen"
Web-Entwicklung,CSS,"Wie wird eine ID in CSS selektiert?","#id","/.id",".id","@id",A,EASY,"IDs werden mit # selektiert, Klassen mit .","css;selektoren;web"
Web-Entwicklung,JavaScript,"Wie deklariert man eine Konstante in JavaScript?","const","let","var","constant",A,EASY,"const deklariert eine Konstante, die nicht neu zugewiesen werden kann","javascript;variablen;es6"
Betriebssysteme,Prozesse,"Was ist ein Prozess?","Programm in Ausführung","Kompilierter Code","Datei auf Festplatte","CPU-Befehl",A,MEDIUM,"Ein Prozess ist ein Programm, das gerade ausgeführt wird, mit eigenem Speicherbereich","betriebssysteme;prozesse;grundlagen"
Betriebssysteme,Speicherverwaltung,"Was ist virtueller Speicher?","Erweiterung des RAM durch Festplatte","Cloud-Speicher","Cache-Speicher","GPU-Speicher",A,MEDIUM,"Virtueller Speicher nutzt die Festplatte als Erweiterung des Arbeitsspeichers","betriebssysteme;speicher;virtual"
IT-Sicherheit,Verschlüsselung,"Was ist symmetrische Verschlüsselung?","Gleicher Schlüssel für Ver- und Entschlüsselung","Öffentlicher und privater Schlüssel","Einweg-Verschlüsselung","Hash-Funktion",A,MEDIUM,"Bei symmetrischer Verschlüsselung wird derselbe Schlüssel zum Ver- und Entschlüsseln verwendet","sicherheit;kryptographie;symmetrisch"
IT-Sicherheit,Authentifizierung,"Was ist 2FA?","Zwei-Faktor-Authentifizierung","Zweite Firewall-Anlage","Zwei-Festplatten-Array","Zweifache Anmeldung",A,EASY,"2FA erfordert zwei verschiedene Authentifizierungsmethoden für erhöhte Sicherheit","sicherheit;authentifizierung;2fa"
Algorithmen,Sortierung,"Welche Zeitkomplexität hat Quicksort im Durchschnitt?","O(n log n)","O(n²)","O(n)","O(log n)",A,HARD,"Quicksort hat im Durchschnitt O(n log n), im schlechtesten Fall O(n²)","algorithmen;sortierung;komplexität"
Algorithmen,Datenstrukturen,"Was ist die Zeitkomplexität für Insert in eine HashMap?","O(1)","O(n)","O(log n)","O(n²)",A,MEDIUM,"HashMap bietet O(1) für Insert, Get und Delete im Durchschnittsfall","datenstrukturen;hashmap;komplexität"
Projektmanagement,Agile,"Was ist ein Sprint in Scrum?","Zeitlich begrenzter Entwicklungszyklus","Tägliches Meeting","Produkt-Release","Bug-Fix",A,EASY,"Ein Sprint ist ein fester Zeitraum (meist 2-4 Wochen) für die Entwicklung","agile;scrum;sprint"
