exam_year,exam_season,main_category,sub_category,topic_tags,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,difficulty,points,explanation,hint,frequency
2024,Prüfung,BETRIEBLICHE_ORGANISATION,Projektmanagement,"Projekt,Phasen,Wasserfall","Was sind die typischen Hauptphasen im Wasserfallmodell?","Analyse-Design-Test","Planung-Durchführung-Abschluss","Initiierung-Planung-Ausführung-Überwachung-Abschluss","Vorbereitung-Umsetzung-Nachbereitung","C","Leicht",2,"Projektmanagement nach PMBOK: Initiierung, Planung, Ausführung, Überwachung & Steuerung, Abschluss","Denken Sie an die 5 Standard-Phasen","35"
2024,Prüfung,BETRIEBLICHE_ORGANISATION,Wirtschaftlichkeit,"ROI,Investition,Kennzahl","Eine Investition kostet 50.000€ und bringt jährlich 15.000€ Gewinn. Wie ist der ROI nach 4 Jahren?","20%","30%","40%","120%","D","Mittel",3,"ROI = (Gesamtgewinn - Investition) / Investition × 100 = (60.000 - 50.000) / 50.000 × 100 = 120%","ROI berücksichtigt Gesamtgewinn über Zeitraum","28"
2024,Prüfung,BETRIEBLICHE_ORGANISATION,Datenschutz,"DSGVO,Rechte,Frist","Innerhalb welcher Frist muss nach DSGVO auf Auskunftsersuchen geantwortet werden?","Sofort","1 Woche","1 Monat","3 Monate","C","Leicht",2,"Art. 12 Abs. 3 DSGVO: Unverzüglich, spätestens binnen eines Monats","DSGVO-Standard: 1 Monat","42"
2024,Prüfung,NETZWERKTECHNIK,IP-Adressierung,"IPv4,Subnetting,CIDR","Wie viele nutzbare Host-Adressen hat das Netz 192.168.10.0/26?","62","64","126","254","A","Mittel",3,"/26 = 6 Bits für Hosts = 64 Adressen - 2 (Netz+Broadcast) = 62 nutzbare","Immer 2 Adressen abziehen","45"
2024,Prüfung,NETZWERKTECHNIK,OSI-Modell,"OSI,Layer,Switch","Auf welcher OSI-Schicht arbeitet ein Switch?","Schicht 1","Schicht 2","Schicht 3","Schicht 4","B","Leicht",2,"Switch arbeitet mit MAC-Adressen auf Layer 2 (Data Link)","Switch = Layer 2 = MAC","50"
2024,Prüfung,NETZWERKTECHNIK,Protokolle,"TCP,Port,HTTPS","Welcher Port wird standardmäßig für HTTPS verwendet?","80","443","8080","8443","B","Leicht",2,"HTTPS = HTTP Secure über TLS/SSL auf Port 443","HTTP=80, HTTPS=443","48"
2024,Prüfung,IT_SYSTEME,Hardware,"CPU,Kerne,Threading","Was bedeutet Hyperthreading bei Intel-CPUs?","Doppelte Kerne","Virtuelle Threads pro Kern","Höhere Taktrate","Mehr Cache","B","Mittel",3,"Hyperthreading simuliert 2 logische Prozessoren pro physischem Kern","1 Kern = 2 Threads","32"
2024,Prüfung,IT_SYSTEME,Speicher,"RAM,DDR,Latenz","Was ist CAS-Latency bei RAM?","Kapazität","Verzögerung beim Zugriff","Taktfrequenz","Spannung","B","Schwer",3,"CAS = Column Address Strobe Latency, Zeit bis Daten bereit","Niedrigere CL = schneller","25"
2024,Prüfung,IT_SYSTEME,RAID,"RAID,Redundanz,Performance","Welches RAID bietet beste Performance ohne Redundanz?","RAID 0","RAID 1","RAID 5","RAID 10","A","Leicht",2,"RAID 0 = Striping ohne Parität, maximale Performance","RAID 0 = nur Speed","38"
2024,Prüfung,DATENBANKEN,SQL,"SQL,SELECT,WHERE","Welche SQL-Anweisung zeigt nur Kunden aus Berlin?","SELECT * FROM kunden WHERE stadt = Berlin","SELECT * FROM kunden WHERE stadt = 'Berlin'","GET * FROM kunden WHERE stadt = 'Berlin'","SHOW kunden WHERE stadt = 'Berlin'","B","Leicht",2,"Strings in SQL müssen in einfachen Anführungszeichen stehen","Strings immer mit Anführungszeichen","40"
2024,Prüfung,DATENBANKEN,Normalisierung,"Normalisierung,1NF,Redundanz","Was fordert die 1. Normalform?","Keine Redundanzen","Atomare Werte","Funktionale Abhängigkeiten","Primärschlüssel","B","Mittel",3,"1NF: Alle Attribute müssen atomare (unteilbare) Werte enthalten","1NF = atomare Werte","30"
2024,Prüfung,DATENBANKEN,Beziehungen,"ER,Kardinalität,1:n","Was bedeutet die Kardinalität 1:n?","Eins zu eins","Eins zu viele","Viele zu viele","Null zu eins","B","Leicht",2,"1:n = Ein Datensatz der ersten Tabelle kann mehrere der zweiten haben","1:n = einer hat viele","35"
2024,Prüfung,PROGRAMMIERUNG,Java,"OOP,Vererbung,Klasse","Was ist Vererbung in der OOP?","Daten kopieren","Eigenschaften übertragen","Methoden ausführen","Objekte erstellen","B","Mittel",3,"Vererbung: Kindklasse erbt Eigenschaften und Methoden der Elternklasse","Extends = erbt von","28"
2024,Prüfung,PROGRAMMIERUNG,Algorithmen,"Sortierung,Komplexität,Big-O","Welche Zeitkomplexität hat Quicksort im Durchschnitt?","O(n)","O(n log n)","O(n²)","O(log n)","B","Schwer",4,"Quicksort: Best/Average O(n log n), Worst O(n²)","Quicksort = n log n","18"
2024,Prüfung,SICHERHEIT,Verschlüsselung,"AES,Symmetrisch,Schlüssel","Was charakterisiert symmetrische Verschlüsselung?","Öffentlicher Schlüssel","Gleicher Schlüssel","Zwei Schlüssel","Kein Schlüssel","B","Leicht",2,"Symmetrisch = gleicher Schlüssel für Ver- und Entschlüsselung","Symmetrisch = gleich","33"
2024,Prüfung,SICHERHEIT,Angriffe,"DDoS,Verfügbarkeit,Flooding","Was ist ein DDoS-Angriff?","Daten stehlen","Server überlasten","Passwörter knacken","Malware verbreiten","B","Mittel",3,"Distributed Denial of Service = verteilte Überlastung des Servers","DDoS = Server lahmlegen","40"
2024,Prüfung,WIRTSCHAFT,Kostenrechnung,"Fixkosten,Variable,Gesamt","Was sind Fixkosten?","Kosten pro Stück","Unveränderliche Kosten","Lohnkosten","Materialkosten","B","Leicht",2,"Fixkosten bleiben konstant, unabhängig von der Produktionsmenge","Fix = konstant","38"
2024,Prüfung,WIRTSCHAFT,Vertragsrecht,"Werkvertrag,Erfolg,Abnahme","Was schuldet ein Werkvertrag?","Zeit","Erfolg","Beratung","Material","B","Mittel",3,"Werkvertrag schuldet Erfolg (fertiges Werk), Dienstvertrag nur Tätigkeit","Werkvertrag = Erfolg","30"
