"QUESTION_TEXT","OPTIONA","OPTIONB","OPTIONC","OPTIOND","CORRECT_ANSWER","CATEGORY","TOPIC","SUBTOPIC","DIFFICULTY","EXPLANATION","TAGS","TIPS","CORRECTION","SOURCE","POINTS","ACTIVE","TIMES_ANSWERED","TIMES_CORRECT"
"Was ist der kritische Pfad in einem Projektplan?","Der kürzeste Weg durch das Projekt","Der Weg mit den meisten Ressourcen","Der längste Weg durch das Projekt ohne Pufferzeiten","Der Weg mit den höchsten Kosten","C","Geschäftsprozesse","Geschäftsprozesse","Projektmanagement","2","Der kritische Pfad bestimmt die Mindestprojektdauer. Verzögerungen auf diesem Pfad verzögern das gesamte Projekt.","projektmanagement,kritischer-pfad","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Welche Projektmanagement-Methode verwendet Sprints?","Wasserfall","Scrum","V-Modell","Prince2","B","Geschäftsprozesse","Geschäftsprozesse","Projektmanagement","1","Scrum ist eine agile Methode mit festen Zeitintervallen (Sprints) von meist 2-4 Wochen.","scrum,agile,sprint","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Wie berechnet sich der ROI (Return on Investment)?","Gewinn / Investition × 100","Umsatz / Kosten × 100","(Gewinn - Investition) / Investition × 100","Investition / Gewinn × 100","C","Geschäftsprozesse","Geschäftsprozesse","Wirtschaftlichkeit","2","ROI = (Gewinn - Investition) / Investition × 100. Ein ROI von 20% bedeutet 20% Rendite.","roi,wirtschaftlichkeit,kennzahlen","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Wie viele nutzbare Host-Adressen hat das Netz 192.168.1.0/28?","14","16","30","32","A","Vernetzte Systeme","Netzwerktechnik","IP-Adressierung","2","Bei /28 bleiben 4 Bits für Hosts = 16 Adressen - 2 (Netz+Broadcast) = 14 nutzbare.","subnetting,ipv4,cidr","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Auf welcher OSI-Schicht arbeitet ein Switch?","Schicht 1","Schicht 2","Schicht 3","Schicht 4","B","Vernetzte Systeme","Netzwerktechnik","OSI-Modell","1","Switch arbeitet auf Layer 2 (Data Link Layer) mit MAC-Adressen.","osi,switch,layer2","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Welcher Datentyp eignet sich für Geldbeträge?","float","double","decimal","int","C","Anwendungsentwicklung","Programmierung","Datentypen","2","Decimal vermeidet Rundungsfehler bei Geldbeträgen, float/double können zu Ungenauigkeiten führen.","datentypen,decimal,genauigkeit","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Vererbung in der Objektorientierung?","Kopieren von Code","Weitergabe von Eigenschaften an Unterklassen","Löschen von Objekten","Speicherverwaltung","B","Anwendungsentwicklung","Programmierung","OOP","1","Vererbung ermöglicht es, Eigenschaften und Methoden an abgeleitete Klassen weiterzugeben.","oop,vererbung,klassen","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was macht der SQL-Befehl JOIN?","Löscht Tabellen","Verbindet Tabellen","Erstellt Backup","Sortiert Daten","B","Anwendungsentwicklung","Datenbanken","SQL","2","JOIN verbindet Datensätze aus mehreren Tabellen basierend auf einer Bedingung.","sql,join,datenbank","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist die 1. Normalform?","Keine Redundanzen","Atomare Werte in Spalten","Primärschlüssel definiert","Fremdschlüssel vorhanden","B","Anwendungsentwicklung","Datenbanken","Normalisierung","2","1NF fordert atomare (unteilbare) Werte in jeder Spalte.","normalisierung,1nf,datenbank","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Unterschied zwischen symmetrischer und asymmetrischer Verschlüsselung?","Kein Unterschied","Symmetrisch: gleicher Schlüssel, Asymmetrisch: Schlüsselpaar","Symmetrisch ist sicherer","Asymmetrisch ist schneller","B","IT-Sicherheit","IT-Sicherheit","Verschlüsselung","2","Symmetrisch nutzt einen Schlüssel für Ver- und Entschlüsselung, asymmetrisch ein Schlüsselpaar.","verschlüsselung,kryptografie,sicherheit","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
