category,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,points
"Projektmanagement",3,"Ein Netzplan hat 5 Vorgänge. A(3 Tage)→B(4 Tage)→D(2 Tage) und A(3 Tage)→C(6 Tage)→D(2 Tage). Was ist die Projektdauer?","9 Tage","11 Tage","12 Tage","15 Tage","B","Pfad 1: A+B+D = 3+4+2 = 9. Pfad 2: A+C+D = 3+6+2 = 11. Maximum = 11 Tage.",14
"Projektmanagement",3,"Vorgang X: FAZ=8, FEZ=13, SAZ=10, SEZ=15. Was ist der Gesamtpuffer?","0","2","3","5","B","GP = SAZ - FAZ = 10 - 8 = 2 Tage",3
"Projektmanagement",3,"Vorgang mit Dauer=5, GP=0, FP=0. Was bedeutet das?","Nicht kritisch","Kritisch ohne Nachfolger","Kritisch mit Nachfolgern","Kann entfallen","C","GP=0 bedeutet kritisch, FP=0 bedeutet direkter Einfluss auf Nachfolger.",4
"Projektmanagement",2,"Die Vorwärtsrechnung ermittelt?","SAZ und SEZ","FAZ und FEZ","GP und FP","Kosten","B","Vorwärtsrechnung: Früheste Anfangs- und Endzeitpunkte (FAZ, FEZ).",2
"Projektmanagement",3,"Vorgänger von E sind C(FEZ=12) und D(FEZ=15). Was ist FAZ von E?","12","15","27","13,5","B","FAZ = Maximum der Vorgänger-FEZ = max(12,15) = 15",3
"Projektmanagement",3,"Nachfolger von B sind E(SAZ=20) und F(SAZ=18). Was ist SEZ von B?","18","20","38","19","A","SEZ = Minimum der Nachfolger-SAZ = min(20,18) = 18",3
"Projektmanagement",2,"Was kennzeichnet IMMER einen kritischen Vorgang?","Höchste Kosten","GP = 0","Längste Dauer","Meiste Ressourcen","B","Kritische Vorgänge haben immer einen Gesamtpuffer von 0.",2
"Projektmanagement",3,"Ein Projekt hat 3 parallele Pfade: 12, 15 und 14 Tage. Der 15-Tage-Pfad verkürzt sich um 2 Tage. Neue Projektdauer?","13 Tage","14 Tage","15 Tage","12 Tage","B","Neue Pfade: 12, 13, 14 Tage. Maximum = 14 Tage.",4
"Projektmanagement",2,"FP = SEZ - FEZ. Was misst der Freie Puffer?","Gesamtverzögerung","Verzögerung ohne Projektverzögerung","Verzögerung ohne Nachfolger-Beeinflussung","Kostenpuffer","C","FP zeigt mögliche Verzögerung ohne Nachfolger zu beeinflussen.",3
"Projektmanagement",3,"Meilenstein M hat FAZ=30, FEZ=30, SAZ=32, SEZ=32. Was ist die Dauer?","0","2","30","32","A","Meilensteine haben keine Dauer, nur einen Zeitpunkt.",2
"Projektmanagement",4,"Netzplan: A(4)→C(3)→E(2), A(4)→D(5)→E(2), B(3)→D(5)→E(2). Projektdauer?","9","10","11","14","B","Pfade: A-C-E=9, A-D-E=11, B-D-E=10. Maximum der Pfade = 11, aber B und A parallel, daher max(4,3)+5+2=11, aber A-C-E nur 9, somit kritisch: B-D-E=10 oder A-D-E=11. Korrekt: max(4,3)=4, dann A-D-E=4+5+2=11 Tage.",14
"Projektmanagement",2,"Was ist der Unterschied zwischen Lastenheft und Pflichtenheft?","Kein Unterschied","Lastenheft vom Auftraggeber, Pflichtenheft vom Auftragnehmer","Pflichtenheft vom Auftraggeber, Lastenheft vom Auftragnehmer","Nur der Umfang","B","Lastenheft: Was/Warum (Auftraggeber), Pflichtenheft: Wie (Auftragnehmer).",3
"Projektmanagement",1,"Was bedeutet das T in SMART?","Technical","Time-bound","Testable","Transparent","B","T steht für Time-bound (terminiert/zeitgebunden).",2
"Projektmanagement",2,"Ein Vorgang auf dem kritischen Pfad verzögert sich. Was passiert?","Nichts","Projekt verzögert sich","Nur dieser Vorgang verzögert sich","Puffer wird genutzt","B","Verzögerungen auf dem kritischen Pfad verzögern das gesamte Projekt.",3
"Projektmanagement",3,"Berechnung: Vorgang K hat Vorgänger mit FEZ=18 und FEZ=22. Dauer von K ist 5. Was ist FEZ von K?","23","27","40","25","B","FAZ(K) = max(18,22) = 22, FEZ(K) = FAZ + Dauer = 22 + 5 = 27",3
"Projektmanagement",3,"Rückwärtsrechnung: Vorgang L hat Nachfolger mit SAZ=40 und SAZ=38. Dauer von L ist 7. Was ist SAZ von L?","31","33","38","40","A","SEZ(L) = min(40,38) = 38, SAZ(L) = SEZ - Dauer = 38 - 7 = 31",3
"Projektmanagement",2,"Was ist KEIN typisches Projektmerkmal?","Einmaligkeit","Wiederkehrend","Zielorientierung","Komplexität","B","Projekte sind einmalig, nicht wiederkehrend (das wäre Routine).",2
"Projektmanagement",3,"GP eines Vorgangs ist 4, FP ist 2. Was bedeutet das?","4 Tage Reserve insgesamt, 2 ohne Nachfolger zu stören","2 Tage Reserve insgesamt, 4 ohne Projekt zu stören","Fehlerhafte Berechnung","6 Tage Reserve total","A","GP=4: 4 Tage Gesamtreserve, FP=2: davon 2 Tage ohne Nachfolger zu beeinflussen.",4
"Projektmanagement",4,"Kritischer Pfad hat 5 Vorgänge mit je GP=0. Ein Vorgang wird um 30% schneller (ursprünglich 10 Tage). Neue Projektdauer wenn ursprünglich 50 Tage?","47 Tage","45 Tage","40 Tage","35 Tage","A","10 Tage × 30% = 3 Tage Ersparnis. 50 - 3 = 47 Tage.",4
"Projektmanagement",2,"Was zeigt ein Gantt-Diagramm?","Nur Abhängigkeiten","Zeitliche Abfolge als Balken","Nur Kosten","Nur Ressourcen","B","Gantt-Diagramme zeigen Vorgänge als Balken auf einer Zeitachse.",2
"Projektmanagement",3,"Parallelisierung: 3 Vorgänge (8, 12, 10 Tage) können parallel laufen. Zeitersparnis gegenüber sequenziell?","10 Tage","12 Tage","18 Tage","20 Tage","C","Sequenziell: 8+12+10=30 Tage. Parallel: max(8,12,10)=12 Tage. Ersparnis: 30-12=18 Tage.",4
"Projektmanagement",2,"Was ist die Hauptaufgabe des Projektmanagements?","Programmierung","Planung, Steuerung und Kontrolle","Nur Dokumentation","Nur Kostenkontrolle","B","Projektmanagement umfasst Planung, Steuerung und Kontrolle von Projekten.",2
"Projektmanagement",3,"Ein Vorgang hat GP=3 und wird um 5 Tage verzögert. Auswirkung?","Keine","Projekt 2 Tage später","Projekt 3 Tage später","Projekt 5 Tage später","A","5 Tage Verzögerung - 3 Tage Puffer = 2 Tage Projektverzögerung.",4
"Projektmanagement",1,"Was ist ein Meilenstein?","Vorgang mit langer Dauer","Ereignis ohne Dauer","Kritischer Vorgang","Pufferzeit","B","Meilensteine sind Ereignisse/Zeitpunkte ohne eigene Dauer.",2
"Projektmanagement",2,"SMART-Ziel: 'Umsatz steigern'. Was fehlt?","Specific","Measurable","Achievable","Alle außer Specific","D","Es fehlen: Measurable (um wieviel?), Achievable (realistisch?), Realistic, Time-bound (bis wann?).",3
"Projektmanagement",3,"Vorgang hat 3 Vorgänger: FEZ=12, FEZ=10, FEZ=14. FAZ des Vorgangs?","10","12","14","36","C","FAZ = Maximum aller Vorgänger-FEZ = max(12,10,14) = 14",2
"Projektmanagement",3,"Vorgang hat 2 Nachfolger: SAZ=25, SAZ=22. SEZ des Vorgangs?","22","25","47","23,5","A","SEZ = Minimum aller Nachfolger-SAZ = min(25,22) = 22",2
"Projektmanagement",4,"Netzplan-Optimierung: Kritischer Pfad 20 Tage. Paralleler Pfad 18 Tage. Kritischen Pfad um 3 Tage verkürzen?","Projekt 3 Tage kürzer","Projekt 2 Tage kürzer","Projekt 1 Tag kürzer","Keine Änderung","C","Kritisch: 20-3=17 Tage. Parallel: 18 Tage. Neuer kritischer Pfad: 18 Tage. Ersparnis: 20-18=2 Tage... Falsch! 20-3=17, aber 18 wird kritisch, also nur 20-18=2 Tage Ersparnis.",5
"Projektmanagement",2,"Was bedeutet der Begriff 'Ressourcenkonflikt'?","Zu hohe Kosten","Mehrere Vorgänge benötigen gleiche Ressource gleichzeitig","Mitarbeiter krank","Materialmangel","B","Ressourcenkonflikt: Gleiche Ressource wird gleichzeitig mehrfach benötigt.",3
