category,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,points
"Projektmanagement",1,"Was ist das Hauptziel eines Projekts?","Routine etablieren","Ein einmaliges Ziel erreichen","Dauerhaft arbeiten","Kosten sparen","B","Projekte sind einmalig und zielorientiert, im Gegensatz zu Routineaufgaben.",2
"Projektmanagement",2,"Welche Formel berechnet den Gesamtpuffer (GP)?","GP = FEZ - FAZ","GP = SEZ - SAZ","GP = SAZ - FAZ","GP = SEZ - FEZ","C","Gesamtpuffer = Spätester Anfang minus Frühester Anfang (SAZ - FAZ).",3
"Projektmanagement",2,"Was bedeutet es, wenn der Freie Puffer (FP) = 0 ist?","Vorgang ist nicht kritisch","Verzögerung beeinflusst sofort Nachfolger","Projekt hat keinen Puffer","Vorgang kann entfallen","B","FP=0 bedeutet, jede Verzögerung beeinflusst direkt die Nachfolger.",3
"Netzwerktechnik",1,"Wie viele Oktette hat eine IPv4-Adresse?","2","3","4","8","C","IPv4-Adressen bestehen aus 4 Oktetten (z.B. 192.168.1.1).",2
"Netzwerktechnik",2,"Was ist die Loopback-Adresse in IPv6?","::1","fe80::1","ff02::1","2001::1","A","::1 ist die IPv6 Loopback-Adresse (entspricht 127.0.0.1 in IPv4).",3
"Netzwerktechnik",3,"Welche IPv6-Adresse ist global eindeutig?","fe80::","ff02::","2001:db8::","::1","C","2001:db8:: ist ein Beispiel für eine global eindeutige IPv6-Adresse.",4
"OSI-Modell",1,"Wie viele Schichten hat das OSI-Modell?","5","6","7","8","C","Das OSI-Modell besteht aus 7 Schichten.",2
"OSI-Modell",2,"Welche Schicht ist für die Ende-zu-Ende-Kommunikation zuständig?","Network","Transport","Session","Application","B","Die Transport-Schicht (4) gewährleistet die Ende-zu-Ende-Kommunikation.",3
"OSI-Modell",2,"Was arbeitet auf der Physical Layer?","Router","Switch","Hub","Firewall","C","Hubs arbeiten auf Schicht 1 (Physical Layer) des OSI-Modells.",3
"PowerShell",1,"Wie beginnt eine Variable in PowerShell?","@","$","#","%","B","PowerShell-Variablen beginnen immer mit dem Dollar-Zeichen ($).",2
"PowerShell",2,"Was gibt 'Get-Process | Where-Object {$_.CPU -gt 100}' zurück?","Alle Prozesse","Prozesse mit mehr als 100% CPU","Prozesse mit mehr als 100 Sekunden CPU-Zeit","Fehler","C","Filtert Prozesse mit mehr als 100 Sekunden kumulierter CPU-Zeit.",3
"PowerShell",3,"Was ist der Output von: [Math]::Round(3.7)","3","4","3.7","Fehler","B","Math::Round rundet mathematisch, 3.7 wird zu 4.",3
"IT-Sicherheit",1,"Was ist Phishing?","Virenschutz","Betrugsversuch per E-Mail","Firewall-Typ","Backup-Methode","B","Phishing ist ein Betrugsversuch, meist per gefälschter E-Mail.",2
"IT-Sicherheit",2,"Welche Verschlüsselung ist symmetrisch?","RSA","AES","ECC","DSA","B","AES ist ein symmetrisches Verschlüsselungsverfahren.",3
"IT-Sicherheit",3,"Was ist der Unterschied zwischen IDS und IPS?","Kein Unterschied","IDS erkennt nur, IPS blockiert auch","IPS erkennt nur, IDS blockiert auch","Verschiedene Hersteller","B","IDS (Detection) erkennt Angriffe, IPS (Prevention) blockiert sie aktiv.",4
"Datenschutz",1,"Wie lange ist die Aufbewahrungsfrist für Geschäftsbriefe?","2 Jahre","6 Jahre","10 Jahre","Unbegrenzt","B","Geschäftsbriefe müssen 6 Jahre aufbewahrt werden.",2
"Datenschutz",2,"Was ist ein Auftragsverarbeiter nach DSGVO?","Datenschutzbeauftragter","Externer Dienstleister der Daten verarbeitet","Behörde","Geschäftsführer","B","Auftragsverarbeiter verarbeitet personenbezogene Daten im Auftrag.",3
"Datenschutz",3,"Wann ist eine Datenschutz-Folgenabschätzung erforderlich?","Immer","Bei hohem Risiko für Betroffene","Nie","Nur bei Behörden","B","DSFA ist bei hohem Risiko für Rechte und Freiheiten erforderlich.",4
"Wirtschaftlichkeit",1,"Was bedeutet ROI?","Return on Investment","Rate of Interest","Risk of Investment","Revenue on Income","A","ROI = Return on Investment, misst die Rentabilität einer Investition.",2
"Wirtschaftlichkeit",2,"Fixkosten 5000€, variable Kosten 10€/Stück, Verkaufspreis 25€/Stück. Break-Even?","200","333","500","1000","B","Break-Even = Fixkosten/(Preis-variable Kosten) = 5000/15 = 333,33",4
"Wirtschaftlichkeit",3,"Was ist die Nutzwertanalyse?","Kostenrechnung","Bewertungsverfahren mit gewichteten Kriterien","Zeitplanung","Personaleinsatz","B","Nutzwertanalyse bewertet Alternativen anhand gewichteter Kriterien.",4
