topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags,tips,correction
"Programmierung","Arrays","Was ist der Unterschied zwischen einem Array und einer ArrayList in Java?","Arrays sind dynamisch, ArrayLists statisch","Arrays haben feste Größe, ArrayLists sind dynamisch","Kein Unterschied","Arrays sind langsamer","B","2","Arrays haben eine feste Größe nach Initialisierung, ArrayLists können dynamisch wachsen.","java,array,arraylist","Denke an die Flexibilität der Datenstruktur","Arrays: int[] arr = new int[5]; ArrayList: ArrayList<Integer> list = new ArrayList<>();"
"Programmierung","Schleifen","Welche Schleife prüft die Bedingung am Ende?","for-Schleife","while-Schleife","do-while-Schleife","foreach-Schleife","C","1","do-while führt den Code mindestens einmal aus und prüft dann die Bedingung.","schleifen,do-while,programmierung","Die Schleife wird mindestens einmal ausgeführt","do { code } while(bedingung);"
"Programmierung","Methoden","Was ist Methodenüberladung (Overloading)?","Gleicher Name, verschiedene Parameter","Verschiedene Namen, gleiche Parameter","Methoden in Unterklassen überschreiben","Methoden löschen","A","2","Overloading erlaubt mehrere Methoden mit gleichem Namen aber unterschiedlichen Parametern.","overloading,methoden,oop","Gleicher Name, unterschiedliche Signatur","void print(int x), void print(String s)"
"Programmierung","Exceptions","Welche Exception muss in Java immer behandelt werden?","RuntimeException","Checked Exception","Error","NullPointerException","B","2","Checked Exceptions müssen mit try-catch oder throws behandelt werden.","exception,java,fehlerbehandlung","Compiler zwingt zur Behandlung","IOException, SQLException sind Checked Exceptions"
"Programmierung","Interfaces","Können Interfaces in Java Konstruktoren haben?","Ja, immer","Nein, niemals","Nur private","Nur public","B","1","Interfaces können keine Konstruktoren haben, da sie nicht instanziiert werden.","interface,java,oop","Interfaces sind Verträge, keine Klassen","Interfaces definieren nur Methodensignaturen"
"Netzwerktechnik","IPv6","Wie viele Bits hat eine IPv6-Adresse?","32","64","128","256","C","1","IPv6-Adressen sind 128 Bit lang, dargestellt in 8 Blöcken zu je 16 Bit.","ipv6,adresse,netzwerk","8 Blöcke × 16 Bit = 128 Bit","Beispiel: 2001:0db8:85a3:0000:0000:8a2e:0370:7334"
"Netzwerktechnik","IPv6","Was ist die Loopback-Adresse in IPv6?","127.0.0.1","::1","0.0.0.0","fe80::1","B","1","::1 ist die IPv6 Loopback-Adresse (entspricht 127.0.0.1 in IPv4).","ipv6,loopback,adresse","Komprimierte Schreibweise für 0000:0000:0000:0000:0000:0000:0000:0001","::1 ist die kürzeste IPv6-Adresse"
"Netzwerktechnik","IPv6","Was bedeutet die Präfix fe80::/10?","Global Unicast","Link-Local","Multicast","Loopback","B","2","fe80::/10 bezeichnet Link-Local Adressen, die nur im lokalen Netzwerksegment gültig sind.","ipv6,link-local,präfix","Automatisch konfiguriert, nicht routbar","Vergleichbar mit 169.254.x.x in IPv4"
"Netzwerktechnik","IPv6","Welches Protokoll ersetzt ARP in IPv6?","NDP","DHCP","ICMP","BGP","A","2","Neighbor Discovery Protocol (NDP) übernimmt die Funktionen von ARP in IPv6.","ipv6,ndp,protokoll","NDP nutzt ICMPv6-Nachrichten","Router Solicitation, Router Advertisement"
"Netzwerktechnik","IPv6","Was ist Dual Stack?","Zwei Netzwerkkarten","IPv4 und IPv6 parallel","Zwei Router","Redundante Verbindung","B","1","Dual Stack bedeutet paralleler Betrieb von IPv4 und IPv6 auf einem System.","ipv6,ipv4,dual-stack","Übergangstechnologie für Migration","Beide Protokolle gleichzeitig aktiv"
"Projektmanagement","Netzplan","Was zeigt der kritische Pfad im Netzplan?","Kürzeste Projektdauer","Längste Dauer ohne Puffer","Billigste Variante","Einfachste Lösung","B","2","Der kritische Pfad bestimmt die Mindestprojektdauer ohne Zeitpuffer.","netzplan,kritischer-pfad,projekt","Verzögerungen hier verzögern das gesamte Projekt","Pufferzeit = 0 auf kritischem Pfad"
"Projektmanagement","Netzplan","Was ist der Früheste Anfangszeitpunkt (FAZ)?","Spätester Start","Frühestmöglicher Beginn","Durchschnittlicher Start","Geplanter Start","B","1","FAZ ist der früheste Zeitpunkt, an dem eine Aktivität beginnen kann.","netzplan,faz,zeitplanung","Abhängig von Vorgängern","FAZ = Max(FEZ aller Vorgänger)"
"Projektmanagement","Netzplan","Wie berechnet sich die Gesamtpufferzeit?","SAZ - FAZ","FAZ - SAZ","Dauer × 2","Dauer / 2","A","2","Gesamtpuffer = Spätester Anfang - Frühester Anfang.","netzplan,puffer,berechnung","Spielraum ohne Projektverzögerung","GP = SAZ - FAZ = SEZ - FEZ"
