category,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,points
"Netzwerktechnik",2,"Welche IPv6-Adresse ist eine Link-Local-Adresse?","fe80::1","2001:db8::1","::1","ff02::1","A","Link-Local-Adressen beginnen immer mit fe80::/10. Sie sind nur im lokalen Netzwerksegment gültig.",5
"Netzwerktechnik",2,"Wie viele Bit hat eine IPv6-Adresse?","32","64","128","256","C","IPv6-Adressen sind 128 Bit lang, im Gegensatz zu IPv4 mit 32 Bit.",3
"Netzwerktechnik",3,"Was bedeutet die Notation :: in einer IPv6-Adresse?","Ende der Adresse","Mehrere aufeinanderfolgende Nullblöcke","Trennung zwischen Netz und Host","Broadcast-Adresse","B","Die doppelten Doppelpunkte :: komprimieren mehrere aufeinanderfolgende Null-Blöcke.",4
"OSI-Modell",1,"Auf welcher OSI-Schicht arbeitet eine MAC-Adresse?","Physical","Data Link","Network","Transport","B","MAC-Adressen arbeiten auf Schicht 2 (Data Link Layer) des OSI-Modells.",2
"OSI-Modell",2,"Welches Protokoll arbeitet auf OSI-Schicht 4?","IP","Ethernet","TCP","HTTP","C","TCP (Transmission Control Protocol) arbeitet auf der Transportschicht (Schicht 4).",3
"OSI-Modell",2,"Auf welcher OSI-Schicht findet die Verschlüsselung mit SSL/TLS statt?","Session","Presentation","Application","Transport","B","SSL/TLS arbeitet auf der Presentation Layer (Schicht 6) für Verschlüsselung.",3
"3D-Daten",2,"Was ist das PLY-Format?","Picture Layout Format","Polygon File Format","Pixel Layer Format","Point List Format","B","PLY steht für Polygon File Format und wird für 3D-Geometriedaten verwendet.",3
"3D-Daten",3,"Wie berechnet sich der Speicherbedarf für 1000 3D-Punkte mit RGB-Farben (je 3 Float-Koordinaten à 4 Byte, 3 RGB-Werte à 1 Byte)?","15 KB","12 KB","18 KB","20 KB","A","1000 Punkte × (3×4 Byte + 3×1 Byte) = 1000 × 15 = 15.000 Byte ≈ 14,65 KB",8
"3D-Daten",2,"Was ist der Hauptunterschied zwischen ASCII und Binary PLY?","Kompression","Lesbarkeit","Genauigkeit","Geschwindigkeit","B","ASCII ist menschenlesbar aber größer, Binary ist kompakter aber nicht lesbar.",3
"PowerShell",2,"Welcher PowerShell-Operator bedeutet 'größer als'?",">","-gt","-lt","-ge","B","-gt steht für 'greater than' (größer als) in PowerShell.",2
"PowerShell",2,"Was ist der Fehler in: if ($zahl > 100)?","Falscher Variablenname","Falscher Vergleichsoperator","Fehlende Klammer","Syntax korrekt","B","In PowerShell muss -gt statt > verwendet werden: if ($zahl -gt 100)",4
"PowerShell",3,"Was gibt dieser Code aus: $x=5; if($x -lt 10){'Klein'}else{'Groß'}","Klein","Groß","Fehler","5","A","5 ist kleiner als 10 (-lt = less than), daher wird 'Klein' ausgegeben.",3
"Projektmanagement",1,"Was bedeutet das M in SMART?","Manageable","Measurable","Modern","Meaningful","B","M steht für Measurable (messbar) - Ziele müssen messbar sein.",2
"Projektmanagement",2,"Was kennzeichnet den kritischen Pfad im Netzplan?","Kürzeste Dauer","Gesamtpuffer = 0","Meiste Ressourcen","Höchste Kosten","B","Der kritische Pfad hat einen Gesamtpuffer (GP) von 0.",3
"Projektmanagement",3,"Ein Vorgang hat FAZ=5, Dauer=3. Was ist FEZ?","2","3","5","8","D","FEZ = FAZ + Dauer = 5 + 3 = 8",2
"IT-Sicherheit",1,"Was gehört zur CIA-Triad?","Compliance","Confidentiality","Certification","Complexity","B","CIA steht für Confidentiality, Integrity, Availability.",2
"IT-Sicherheit",2,"Welche Maßnahme dient primär der Integrität?","Verschlüsselung","Backup","Digitale Signatur","Firewall","C","Digitale Signaturen sichern die Integrität von Daten.",3
