topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags
"Geschäftsprozesse","Projektmanagement","Was ist der kritische Pfad in einem Projektplan?","Der kürzeste Weg durch das Projekt","Der Weg mit den meisten Ressourcen","Der längste Weg durch das Projekt ohne Pufferzeiten","Der Weg mit den höchsten Kosten","C","2","Der kritische Pfad bestimmt die Mindestprojektdauer. Verzögerungen auf diesem Pfad verzögern das gesamte Projekt.","projektmanagement,kritischer-pfad"
"Geschäftsprozesse","Projektmanagement","Welche Projektmanagement-Methode verwendet Sprints?","Wasserfall","Scrum","V-Modell","Prince2","B","1","Scrum ist eine agile Methode mit festen Zeitintervallen (Sprints) von meist 2-4 Wochen.","scrum,agile,sprint"
"Geschäftsprozesse","Wirtschaftlichkeit","Wie berechnet sich der ROI (Return on Investment)?","Gewinn / Investition × 100","Umsatz / Kosten × 100","(Gewinn - Investition) / Investition × 100","Investition / Gewinn × 100","C","2","ROI = (Gewinn - Investition) / Investition × 100. Ein ROI von 20% bedeutet 20% Rendite.","roi,wirtschaftlichkeit,kennzahlen"
"Geschäftsprozesse","Datenschutz","Innerhalb welcher Frist muss nach DSGVO auf Auskunftsersuchen geantwortet werden?","Sofort","1 Woche","1 Monat","3 Monate","C","1","Art. 12 Abs. 3 DSGVO: Unverzüglich, spätestens binnen eines Monats.","dsgvo,datenschutz,auskunft"
"Geschäftsprozesse","Qualitätsmanagement","Was bedeutet die Abkürzung KVP?","Kundenverantwortungsprinzip","Kontinuierlicher Verbesserungsprozess","Kritische Verlaufspunkte","Kontrollierte Vertragsprüfung","B","1","KVP ist ein Grundprinzip des Qualitätsmanagements zur stetigen Optimierung.","qualität,kvp,verbesserung"
"Geschäftsprozesse","Vertragsrecht","Wann kommt ein Kaufvertrag zustande?","Bei Übergabe der Ware","Bei Bezahlung","Bei übereinstimmenden Willenserklärungen","Bei Unterschrift","C","2","Ein Kaufvertrag entsteht durch Angebot und Annahme (zwei übereinstimmende Willenserklärungen).","vertrag,kaufvertrag,bgb"
"Geschäftsprozesse","Kalkulation","Was gehört zu den Einzelkosten?","Miete","Gehalt der Verwaltung","Materialkosten für ein Produkt","Versicherungen","C","2","Einzelkosten können einem Produkt direkt zugeordnet werden, Gemeinkosten nicht.","kalkulation,kosten,einzelkosten"
"Geschäftsprozesse","Marketing","Was ist der USP eines Produkts?","Unternehmensstrategie-Plan","Unique Selling Proposition","Universal Service Provider","User Support Program","B","1","USP = Alleinstellungsmerkmal, das ein Produkt von der Konkurrenz abhebt.","marketing,usp,alleinstellung"
"Geschäftsprozesse","Arbeitsrecht","Wie lange beträgt die gesetzliche Kündigungsfrist nach 5 Jahren Betriebszugehörigkeit?","2 Wochen","4 Wochen","2 Monate","3 Monate","C","2","Nach § 622 BGB: 2 Monate zum Monatsende bei 5 Jahren Betriebszugehörigkeit.","arbeitsrecht,kündigung,fristen"
"Geschäftsprozesse","Beschaffung","Was ist Just-in-Time-Lieferung?","Lieferung auf Vorrat","Lieferung zum Produktionszeitpunkt","Lieferung nach Feierabend","Express-Lieferung","B","2","JIT reduziert Lagerkosten durch bedarfsgerechte Lieferung.","logistik,jit,beschaffung"
"Geschäftsprozesse","ITIL","Was beschreibt ein Service Level Agreement (SLA)?","Mitarbeiterverträge","Vereinbarte Serviceleistungen und -qualität","Softwarelizenzen","Projektpläne","B","2","SLAs definieren messbare Leistungsvereinbarungen zwischen Dienstleister und Kunde.","itil,sla,service"
"Geschäftsprozesse","Risikomanagement","Was ist eine SWOT-Analyse?","Software-Test","Stärken-Schwächen-Chancen-Risiken-Analyse","System-Wartungs-Optimierungs-Tool","Sicherheits-Warnsystem","B","1","SWOT = Strengths, Weaknesses, Opportunities, Threats - Strategisches Planungsinstrument.","swot,analyse,strategie"
"Geschäftsprozesse","Kommunikation","Was ist bei einem Eskalationsmanagement wichtig?","Sofort den Chef informieren","Definierte Eskalationsstufen","Probleme ignorieren","Kunden nicht informieren","B","2","Strukturierte Eskalation mit definierten Stufen und Verantwortlichkeiten.","eskalation,kommunikation,prozess"
"Geschäftsprozesse","Change Management","Was ist der erste Schritt im Change-Management-Prozess?","Implementierung","Analyse des Ist-Zustands","Mitarbeiterschulung","Erfolgskontrolle","B","2","Ohne Ist-Analyse kann kein sinnvoller Soll-Zustand definiert werden.","change,management,prozess"
"Geschäftsprozesse","Budgetierung","Was ist ein Budget?","Ist-Kosten","Plan-Kosten","Fixkosten","Variable Kosten","B","1","Budget = geplante Einnahmen und Ausgaben für einen bestimmten Zeitraum.","budget,planung,kosten"
"Geschäftsprozesse","Dokumentation","Warum ist Prozessdokumentation wichtig?","Nur für Audits","Wissenstransfer und Standardisierung","Zeitverschwendung","Nur für neue Mitarbeiter","B","2","Dokumentation sichert Wissen, ermöglicht Standardisierung und Verbesserung.","dokumentation,prozess,wissen"
"Geschäftsprozesse","Zeitmanagement","Was ist die Eisenhower-Matrix?","Projektplan","Priorisierung nach Wichtigkeit/Dringlichkeit","Risikomatrix","Kostenmatrix","B","1","Aufgaben werden in 4 Quadranten eingeteilt: wichtig/dringend, wichtig/nicht dringend, etc.","zeitmanagement,eisenhower,priorität"
"Geschäftsprozesse","Compliance","Was bedeutet Compliance?","Einhaltung von Regeln und Gesetzen","Kundenzufriedenheit","Mitarbeitermotivation","Gewinnmaximierung","A","1","Compliance = Regelkonformität, Einhaltung von gesetzlichen und unternehmensinternen Vorgaben.","compliance,regeln,gesetze"
"Geschäftsprozesse","Controlling","Was ist der Break-Even-Point?","Maximaler Gewinn","Gewinnschwelle","Maximaler Verlust","Umsatzmaximum","B","2","Break-Even = Punkt, an dem Erlöse die Kosten decken (Gewinn = 0).","controlling,break-even,gewinn"
"Geschäftsprozesse","Prozessoptimierung","Was bedeutet BPR?","Business Process Reengineering","Basic Program Resources","Budget Planning Report","Business Partner Relations","A","2","BPR = radikale Neugestaltung von Geschäftsprozessen zur Leistungssteigerung.","bpr,prozess,optimierung"
